,name,link
58,      55. Le Relais de Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d1739027-Reviews-Le_Relais_de_Marrakech-Marrakech_Marrakech_Safi.html
59,      56. Palais Namaskar,https://www.tripadvisor.com/Hotel_Review-g293734-d2555796-Reviews-Palais_Namaskar-Marrakech_Marrakech_Safi.html
60,      57. Wazo Hotel,https://www.tripadvisor.com/Hotel_Review-g293734-d10595190-Reviews-Wazo_Hotel-Marrakech_Marrakech_Safi.html
61,      58. Demeures d'Orient Riad & Spa Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d1022723-Reviews-Demeures_d_Orient_Riad_Spa_Marrakech-Marrakech_Marrakech_Safi.html
62,      59. Riad les Oliviers & SPA,https://www.tripadvisor.com/Hotel_Review-g293734-d595346-Reviews-Riad_les_Oliviers_SPA-Marrakech_Marrakech_Safi.html
63,      60. Moroccan House Hotel,https://www.tripadvisor.com/Hotel_Review-g293734-d595348-Reviews-Moroccan_House_Hotel-Marrakech_Marrakech_Safi.html
64,      61. Riad Dar Najat,https://www.tripadvisor.com/Hotel_Review-g293734-d647710-Reviews-Riad_Dar_Najat-Marrakech_Marrakech_Safi.html
65,      62. Riad Bayti Marrakech,https://www.tripadvisor.com/Hotel_Review-g293734-d626486-Reviews-Riad_Bayti_Marrakech-Marrakech_Marrakech_Safi.html
66,      63. Riad Les Trois Mages,https://www.tripadvisor.com/Hotel_Review-g293734-d644973-Reviews-Riad_Les_Trois_Mages-Marrakech_Marrakech_Safi.html
67,      64. Riad Elegancia,https://www.tripadvisor.com/Hotel_Review-g293734-d15327536-Reviews-Riad_Elegancia-Marrakech_Marrakech_Safi.html
68,      65. Riad & Spa Esprit du Maroc,https://www.tripadvisor.com/Hotel_Review-g293734-d1015299-Reviews-Riad_Spa_Esprit_du_Maroc-Marrakech_Marrakech_Safi.html
69,      66. Rodamon Riad Marrakech Hostel,https://www.tripadvisor.com/Hotel_Review-g293734-d12641938-Reviews-Rodamon_Riad_Marrakech_Hostel-Marrakech_Marrakech_Safi.html
70,      67. Hotel Du Golf Rotana,https://www.tripadvisor.com/Hotel_Review-g293734-d2170055-Reviews-Hotel_Du_Golf_Rotana-Marrakech_Marrakech_Safi.html
71,      68. TUI BLUE Medina Gardens,https://www.tripadvisor.com/Hotel_Review-g293734-d6621142-Reviews-TUI_BLUE_Medina_Gardens-Marrakech_Marrakech_Safi.html
